;question;choice;no_choice;levels;price_1;price_2;price_3;rebs_1;rebs_2;rebs_3;siegel_1;siegel_2;infos_1;infos_2;infos_3
question1.choice1;1;1;0;1111;1;0;0;1;0;0;1;0;1;0;0
question1.choice2;1;2;0;3221;0;0;1;0;1;0;0;1;1;0;0
question1.choice3;1;3;0;2322;0;1;0;0;0;1;0;1;0;1;0
question1.choice4;1;4;1;;0;0;0;0;0;0;0;0;0;0;0
question2.choice1;2;1;0;2213;0;1;0;0;1;0;1;0;0;0;1
question2.choice2;2;2;0;1323;1;0;0;0;0;1;0;1;0;0;1
question2.choice3;2;3;0;3121;0;0;1;1;0;0;0;1;1;0;0
question2.choice4;2;4;1;;0;0;0;0;0;0;0;0;0;0;0
question3.choice1;3;1;0;2321;0;1;0;0;0;1;0;1;1;0;0
question3.choice2;3;2;0;1111;1;0;0;1;0;0;1;0;1;0;0
question3.choice3;3;3;0;3212;0;0;1;0;1;0;1;0;0;1;0
question3.choice4;3;4;1;;0;0;0;0;0;0;0;0;0;0;0
question4.choice1;4;1;0;3123;0;0;1;1;0;0;0;1;0;0;1
question4.choice2;4;2;0;2213;0;1;0;0;1;0;1;0;0;0;1
question4.choice3;4;3;0;1311;1;0;0;0;0;1;1;0;1;0;0
question4.choice4;4;4;1;;0;0;0;0;0;0;0;0;0;0;0
question5.choice1;5;1;0;3211;0;0;1;0;1;0;1;0;1;0;0
question5.choice2;5;2;0;2321;0;1;0;0;0;1;0;1;1;0;0
question5.choice3;5;3;0;1122;1;0;0;1;0;0;0;1;0;1;0
question5.choice4;5;4;1;;0;0;0;0;0;0;0;0;0;0;0
question6.choice1;6;1;0;1322;1;0;0;0;0;1;0;1;0;1;0
question6.choice2;6;2;0;3112;0;0;1;1;0;0;1;0;0;1;0
question6.choice3;6;3;0;2213;0;1;0;0;1;0;1;0;0;0;1
question6.choice4;6;4;1;;0;0;0;0;0;0;0;0;0;0;0
question7.choice1;7;1;0;3312;0;0;1;0;0;1;1;0;0;1;0
question7.choice2;7;2;0;2122;0;1;0;1;0;0;0;1;0;1;0
question7.choice3;7;3;0;1223;1;0;0;0;1;0;0;1;0;0;1
question7.choice4;7;4;1;;0;0;0;0;0;0;0;0;0;0;0
question8.choice1;8;1;0;1313;1;0;0;0;0;1;1;0;0;0;1
question8.choice2;8;2;0;3123;0;0;1;1;0;0;0;1;0;0;1
question8.choice3;8;3;0;2221;0;1;0;0;1;0;0;1;1;0;0
question8.choice4;8;4;1;;0;0;0;0;0;0;0;0;0;0;0
question9.choice1;9;1;0;3321;0;0;1;0;0;1;0;1;1;0;0
question9.choice2;9;2;0;2111;0;1;0;1;0;0;1;0;1;0;0
question9.choice3;9;3;0;1212;1;0;0;0;1;0;1;0;0;1;0
question9.choice4;9;4;1;;0;0;0;0;0;0;0;0;0;0;0
question10.choice1;10;1;0;2112;0;1;0;1;0;0;1;0;0;1;0
question10.choice2;10;2;0;1222;1;0;0;0;1;0;0;1;0;1;0
question10.choice3;10;3;0;3323;0;0;1;0;0;1;0;1;0;0;1
question10.choice4;10;4;1;;0;0;0;0;0;0;0;0;0;0;0
question11.choice1;11;1;0;1222;1;0;0;0;1;0;0;1;0;1;0
question11.choice2;11;2;0;3312;0;0;1;0;0;1;1;0;0;1;0
question11.choice3;11;3;0;2113;0;1;0;1;0;0;1;0;0;0;1
question11.choice4;11;4;1;;0;0;0;0;0;0;0;0;0;0;0
