"","question","choice","levels","price1","price2","price3","grape1","grape2","grape3","seal1","seal2","label1","label2","label3","NoChoice"
"1.1",1,1,"1222",1,0,0,0,1,0,0,1,0,1,0,0
"1.2",1,2,"3311",0,0,1,0,0,1,1,0,1,0,0,0
"1.3",1,3,"2112",0,1,0,1,0,0,1,0,0,1,0,0
"1.4",1,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"2.1",2,1,"3223",0,0,1,0,1,0,0,1,0,0,1,0
"2.2",2,2,"2312",0,1,0,0,0,1,1,0,0,1,0,0
"2.3",2,3,"1113",1,0,0,1,0,0,1,0,0,0,1,0
"2.4",2,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"3.1",3,1,"1111",1,0,0,1,0,0,1,0,1,0,0,0
"3.2",3,2,"3223",0,0,1,0,1,0,0,1,0,0,1,0
"3.3",3,3,"2321",0,1,0,0,0,1,0,1,1,0,0,0
"3.4",3,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"4.1",4,1,"1213",1,0,0,0,1,0,1,0,0,0,1,0
"4.2",4,2,"3322",0,0,1,0,0,1,0,1,0,1,0,0
"4.3",4,3,"2123",0,1,0,1,0,0,0,1,0,0,1,0
"4.4",4,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"5.1",5,1,"1312",1,0,0,0,0,1,1,0,0,1,0,0
"5.2",5,2,"3121",0,0,1,1,0,0,0,1,1,0,0,0
"5.3",5,3,"2222",0,1,0,0,1,0,0,1,0,1,0,0
"5.4",5,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"6.1",6,1,"3112",0,0,1,1,0,0,1,0,0,1,0,0
"6.2",6,2,"2221",0,1,0,0,1,0,0,1,1,0,0,0
"6.3",6,3,"1322",1,0,0,0,0,1,0,1,0,1,0,0
"6.4",6,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"7.1",7,1,"3313",0,0,1,0,0,1,1,0,0,0,1,0
"7.2",7,2,"2122",0,1,0,1,0,0,0,1,0,1,0,0
"7.3",7,3,"1223",1,0,0,0,1,0,0,1,0,0,1,0
"7.4",7,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"8.1",8,1,"2122",0,1,0,1,0,0,0,1,0,1,0,0
"8.2",8,2,"1211",1,0,0,0,1,0,1,0,1,0,0,0
"8.3",8,3,"3312",0,0,1,0,0,1,1,0,0,1,0,0
"8.4",8,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"9.1",9,1,"2311",0,1,0,0,0,1,1,0,1,0,0,0
"9.2",9,2,"1123",1,0,0,1,0,0,0,1,0,0,1,0
"9.3",9,3,"3221",0,0,1,0,1,0,0,1,1,0,0,0
"9.4",9,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"10.1",10,1,"2113",0,1,0,1,0,0,1,0,0,0,1,0
"10.2",10,2,"1222",1,0,0,0,1,0,0,1,0,1,0,0
"10.3",10,3,"3323",0,0,1,0,0,1,0,1,0,0,1,0
"10.4",10,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"11.1",11,1,"3121",0,0,1,1,0,0,0,1,1,0,0,0
"11.2",11,2,"2213",0,1,0,0,1,0,1,0,0,0,1,0
"11.3",11,3,"1311",1,0,0,0,0,1,1,0,1,0,0,0
"11.4",11,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"12.1",12,1,"2323",0,1,0,0,0,1,0,1,0,0,1,0
"12.2",12,2,"1112",1,0,0,1,0,0,1,0,0,1,0,0
"12.3",12,3,"3213",0,0,1,0,1,0,1,0,0,0,1,0
"12.4",12,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"13.1",13,1,"2221",0,1,0,0,1,0,0,1,1,0,0,0
"13.2",13,2,"1313",1,0,0,0,0,1,1,0,0,0,1,0
"13.3",13,3,"3111",0,0,1,1,0,0,1,0,1,0,0,0
"13.4",13,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"14.1",14,1,"1123",1,0,0,1,0,0,0,1,0,0,1,0
"14.2",14,2,"3212",0,0,1,0,1,0,1,0,0,1,0,0
"14.3",14,3,"2313",0,1,0,0,0,1,1,0,0,0,1,0
"14.4",14,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"15.1",15,1,"3211",0,0,1,0,1,0,1,0,1,0,0,0
"15.2",15,2,"2323",0,1,0,0,0,1,0,1,0,0,1,0
"15.3",15,3,"1121",1,0,0,1,0,0,0,1,1,0,0,0
"15.4",15,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"16.1",16,1,"3322",0,0,1,0,0,1,0,1,0,1,0,0
"16.2",16,2,"2111",0,1,0,1,0,0,1,0,1,0,0,0
"16.3",16,3,"1212",1,0,0,0,1,0,1,0,0,1,0,0
"16.4",16,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"17.1",17,1,"2212",0,1,0,0,1,0,1,0,0,1,0,0
"17.2",17,2,"1321",1,0,0,0,0,1,0,1,1,0,0,0
"17.3",17,3,"3122",0,0,1,1,0,0,0,1,0,1,0,0
"17.4",17,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
"18.1",18,1,"1321",1,0,0,0,0,1,0,1,1,0,0,0
"18.2",18,2,"3113",0,0,1,1,0,0,1,0,0,0,1,0
"18.3",18,3,"2211",0,1,0,0,1,0,1,0,1,0,0,0
"18.4",18,4,"00001",0,0,0,0,0,0,0,0,0,0,0,1
